SMILES,MW,ClogP,ClogS,TPSA,HBA,HBD,Rotatable Bonds
CCOC(C(C)(C)c1csc([C@H]2OC[C@@H](CCC3)[N@H+]3C2)n1)=O,325.454,1.1023999999999998,84.18470000000005,52.86000000000001,5,1,4
C[C@@H]1O[C@@H](C)CN(C[C@@H]2[N@H+](Cc3cnc(C)s3)CCC2)C1,310.48700000000014,1.1080199999999998,85.85570000000006,29.8,4,1,4
C[C@@H]1O[C@@H](C)C[NH+](C[C@@H](CCC2)N2C(c2c(C)ccs2)=O)C1,323.482,1.3532200000000003,88.68720000000005,33.980000000000004,3,1,3
CC(C)[N@@H+]([C@H](CC1)CC2)[C@@H]1CN2C(NCCCCSC)=O,314.519,1.369200000000001,90.11340000000007,36.78,2,2,6
C[C@H]1O[C@H](C)CN(C[C@@H]2[N@H+](Cc3cnc(C)s3)CCC2)C1,310.48700000000014,1.1080199999999998,85.85570000000006,29.8,4,1,4
Cc1ccc(C[N@H+](CCOC)CC(N2CCCCC2)=O)s1,311.471,1.10032,85.76370000000006,33.980000000000004,3,1,7
CC(C)OC[C@@H](C[N@@H+](C[C@H]1OCCC1)Cc1cscc1)O,314.47099999999995,1.0979,84.78850000000006,43.13,4,2,9
CC(C)=CCN1[C@H](CCO)C[N@H+](Cc2ccc(C)s2)CC1,309.4990000000001,1.47422,89.95150000000005,27.91,3,2,6
CC(C)n1nccc1NC(C[N@H+](C)Cc1c(C)ccs1)=O,307.443,1.4873200000000002,85.75540000000004,51.36,4,2,6
CCCC[N@@H+](CCO)CC(N(CCC1)[C@H]1c1cccs1)=O,311.47099999999995,1.0889000000000009,85.56450000000005,44.980000000000004,3,2,8
CCC(SC1=NC(C[N@@H+](C)[C@H]2CC[C@@H](C)CC2)=C2)=NN1C2=O,321.46999999999997,1.3067999999999993,88.52270000000004,51.7,5,1,4
C[C@@H](C[N@H+]1C[C@@H](C)C[C@@H](C)C1)NC(N1CCSCCC1)=O,314.5190000000001,1.084200000000001,90.01740000000007,36.78,2,2,3
CC(SC1=NC(C[N@H+](C)C2CCCCCC2)=C2)=NN1C2=O,307.443,1.1969199999999995,83.95170000000003,51.7,5,1,3
CCCc1nc(CN(CC)C(C[N@H+]2[C@@H](C)CCC[C@H]2C)=O)no1,323.461,1.2164000000000008,87.98870000000005,63.67,4,1,7
C[N@@H+](C[C@H](c1cccs1)N1CCOCC1)C[C@@H]1OCCCC1,325.4980000000001,1.2052000000000003,89.66370000000006,26.14,4,1,6
C([C@H]1[C@@H](CCCC2)N2CCC1)[NH2+]C1CSCCSC1,301.545,1.6629000000000003,87.16640000000005,19.85,3,1,3
CCC[C@@H](COCC1)[N@@H+]1C(CC1)CCN1C(c1cccs1)=O,323.48199999999997,1.4365000000000008,88.58920000000005,33.980000000000004,3,1,4
CCC[C@H](COCC1)[N@@H+]1C(CC1)CCN1C(c1cccs1)=O,323.48199999999997,1.4365000000000008,88.58920000000005,33.980000000000004,3,1,4
CC[N@@H+](CCC1)CCN1C([C@@H](C)Sc(cc1)ccc1OC)=O,323.4820000000001,1.3129000000000004,90.74770000000007,33.980000000000004,3,1,5
CC[N@@H+](CCC1)CCN1C([C@H](C)Sc(cc1)ccc1OC)=O,323.4820000000001,1.3129000000000004,90.74770000000007,33.980000000000004,3,1,5
CC[N@@H+](CCC1)[C@@H]1[C@H](CCC1)N1C(c(scc1)c1OC)=O,309.45500000000004,1.4284999999999997,84.32220000000007,33.980000000000004,3,1,4
CC[N@@H+](CCC1)[C@H]1[C@H](CCC1)N1C(c(scc1)c1OC)=O,309.45500000000004,1.4284999999999997,84.32220000000007,33.980000000000004,3,1,4
C[C@H]1O[C@@H](C)C[N@H+](C[C@H](CCC2)N2C(c2c(C)ccs2)=O)C1,323.482,1.3532200000000003,88.68720000000005,33.980000000000004,3,1,3
CCC[N@@H+](CCC1)CCN1C(CCC(c1cccs1)=O)=O,309.45500000000004,1.2382000000000002,84.93520000000005,41.82,3,1,6
CC(C)Cc1ccc(C[N@@H+]2C[C@H](CO)[C@H](C[NH+](C)C)C2)s1,312.523,-0.28569999999999696,89.00520000000006,29.110000000000003,2,3,7
CCC[C@H](C(N1CCC(CC[N@@H+]2[C@@H](C)CCCC2)CC1)=O)[NH3+],311.51400000000007,0.4830000000000036,89.51480000000006,52.39,1,2,6
CCC[C@@H](C(N1CCC(CC[N@@H+]2[C@@H](C)CCCC2)CC1)=O)[NH3+],311.51400000000007,0.4830000000000036,89.51480000000006,52.39,1,2,6
CC[N@@H+](CC1)C[C@H](C)[C@H]1N(C)C(CC[C@H](c1ccccc1)[NH3+])=O,319.493,0.5214000000000028,92.88180000000007,52.39,1,2,6
CC[N@@H+](CC1)C[C@@H](C)[C@H]1N(C)C(CC[C@@H](c1ccccc1)[NH3+])=O,319.493,0.5214000000000028,92.88180000000007,52.39,1,2,6
CC[N@@H+](CC1)C[C@@H](C)[C@H]1N(C)C(CC[C@H](c1ccccc1)[NH3+])=O,319.493,0.5214000000000028,92.88180000000007,52.39,1,2,6
CC[N@@H+](CC1)C[C@H](C)[C@H]1N(C)C(CC[C@@H](c1ccccc1)[NH3+])=O,319.493,0.5214000000000028,92.88180000000007,52.39,1,2,6
CC[N@@H+](CC1)C[C@H](C)[C@H]1N(C)C([C@H](C)[C@H](c1ccccc1)[NH3+])=O,319.493,0.3773000000000039,92.81180000000006,52.39,1,2,5
CC[N@@H+](CC1)C[C@H](C)[C@H]1N(C)C([C@H](C)[C@@H](c1ccccc1)[NH3+])=O,319.493,0.3773000000000039,92.81180000000006,52.39,1,2,5
CC[N@@H+](CC1)C[C@@H](C)[C@H]1N(C)C([C@H](C)[C@H](c1ccccc1)[NH3+])=O,319.493,0.3773000000000039,92.81180000000006,52.39,1,2,5
CC[N@@H+](CC1)C[C@@H](C)[C@H]1N(C)C([C@H](C)[C@@H](c1ccccc1)[NH3+])=O,319.493,0.3773000000000039,92.81180000000006,52.39,1,2,5
CCC[C@@H](C(N1CCC(CC[N@@H+]2[C@H](C)CCCC2)CC1)=O)[NH3+],311.51400000000007,0.4830000000000036,89.51480000000006,52.39,1,2,6
CCC[C@H](C(N1CCC(CC[N@@H+]2[C@H](C)CCCC2)CC1)=O)[NH3+],311.51400000000007,0.4830000000000036,89.51480000000006,52.39,1,2,6
C([C@H]1[C@@H](CCCC2)[N@H+]2CCC1)[NH2+]C1CSCCSC1,302.553,0.2458000000000029,86.29010000000005,21.05,2,2,3
C[C@H](C[N@H+]1CC[C@H](C[N@@H+](C)Cc(s2)ccc2Cl)CC1)O,318.9140000000001,0.0919000000000017,84.75520000000004,29.11,2,3,6
C[C@@H](C[N@H+]1CC[C@H](C[N@@H+](C)Cc(s2)ccc2Cl)CC1)O,318.9140000000001,0.0919000000000017,84.75520000000004,29.11,2,3,6
CC(C)c1cc(N2C[C@H](C)[N@H+](C[C@H](C)O)CC2)nc(C(C)C)[nH+]1,322.497,0.616700000000002,93.02320000000006,54.94,3,2,5
COc1ccc([C@H]([C@H](C(O)=O)c2ccccc2)C(O)=O)cc1,300.31,2.7318000000000007,80.18960000000004,83.83000000000001,3,2,6
COc1ccc([C@@H]([C@H](C(O)=O)c2ccccc2)C(O)=O)cc1,300.31,2.7318000000000007,80.18960000000004,83.83000000000001,3,2,6
COc1ccc([C@H]([C@@H](C(O)=O)c2ccccc2)C(O)=O)cc1,300.31,2.7318000000000007,80.18960000000004,83.83000000000001,3,2,6
COc1ccc([C@@H]([C@@H](C(O)=O)c2ccccc2)C(O)=O)cc1,300.31,2.7318000000000007,80.18960000000004,83.83000000000001,3,2,6
OC([C@@H](CC=CC1)[C@@H]1C(Nc(cc1)cc(Cl)c1C(O)=O)=O)=O,323.7320000000001,2.643700000000001,80.03080000000003,103.69999999999999,3,3,4
OC([C@H](CC=CC1)[C@@H]1C(Nc(cc1)cc(Cl)c1C(O)=O)=O)=O,323.7320000000001,2.643700000000001,80.03080000000003,103.69999999999999,3,3,4
OC([C@H](CC=CC1)[C@H]1C(Nc(cc1)cc(Cl)c1C(O)=O)=O)=O,323.7320000000001,2.643700000000001,80.03080000000003,103.69999999999999,3,3,4
OC([C@@H](CC=CC1)[C@H]1C(Nc(cc1)cc(Cl)c1C(O)=O)=O)=O,323.7320000000001,2.643700000000001,80.03080000000003,103.69999999999999,3,3,4
OC(c(cc1)ccc1NC(Nc(cc1)ccc1C(O)=O)=O)=O,300.27000000000004,2.7270000000000003,79.44400000000005,115.72999999999999,3,4,4
Cc1c(C(O)=O)c(C(O)=O)c(cc(cc2)Br)c2n1,310.103,2.7021200000000007,68.0986,87.49,3,2,2
Cc(c(C(O)=O)c1C(F)(F)F)nn1-c(cccc1)c1C(O)=O,314.21900000000005,2.5959199999999996,67.22160000000002,92.41999999999999,4,2,3
OC(C(C1)=Nc2ncnn2[C@@H]1c(ccc(Cl)c1)c1Cl)=O,311.12800000000004,2.735100000000001,73.97080000000003,80.37,5,1,2
OC(C(C1)=Nc2ncnn2[C@H]1c(ccc(Cl)c1)c1Cl)=O,311.12800000000004,2.735100000000001,73.97080000000003,80.37,5,1,2
CC[C@@H](C)c1noc(C(N2C[C@H](CCC(O)=O)CCC2)=O)c1,308.37800000000004,2.905100000000002,80.70630000000006,83.63999999999999,4,1,6
CC[C@@H](C)c1noc(C(N2C[C@@H](CCC(O)=O)CCC2)=O)c1,308.37800000000004,2.905100000000002,80.70630000000006,83.63999999999999,4,1,6
CCC[C@@](CCC1)(CN1C(c(cccn1)c1OCC)=O)C(O)=O,320.38900000000007,2.5874000000000006,85.52030000000005,79.73000000000002,4,1,6
CCC[C@](CCC1)(CN1C(c(cccn1)c1OCC)=O)C(O)=O,320.38900000000007,2.5874000000000006,85.52030000000005,79.73000000000002,4,1,6
